trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.55, 'e': 0.8850402428058222}",30,9,-78.06961921334617,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 1}",1
63,False,"{'a': 0.55, 'e': 0.8832701623202105}",30,0,-56.753334908727226,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.55, 'e': 0.8815036219955701}",20,0,-113.4026433991785,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
65,False,"{'a': 0.55, 'e': 0.8797406147515789}",20,0,-73.57203642350632,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.55, 'e': 0.8779811335220757}",25,0,-141.03809147229208,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.55, 'e': 0.8762251712550316}",20,0,-17.680752749415255,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.55, 'e': 0.8744727209125216}",25,0,-100.42135983053653,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
69,False,"{'a': 0.55, 'e': 0.8727237754706965}",20,9,-12.946666442186892,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.55, 'e': 0.8709783279197552}",25,12,-10.94147711753088,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.55, 'e': 0.8692363712639156}",25,0,-108.1773616711792,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
72,False,"{'a': 0.55, 'e': 0.8674978985213878}",25,0,-58.889318536043746,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.55, 'e': 0.865762902724345}",25,7,-20.7108998045348,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.55, 'e': 0.8640313769188963}",20,0,-6.291158105266888,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
75,False,"{'a': 0.55, 'e': 0.8623033141650586}",20,0,-87.51130561930015,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.55, 'e': 0.8605787075367284}",25,0,-135.27464783243278,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
